name,grade,climb_angle,climb_style,description
Dale's Right,2,overhanging,face,"Nice edging with fun moves.    Start right-hand on the sloping crimp in the small, shallow, and orange hueco, and left-hand on a small but good incut.  Work up and right to the patina following the edges to a large move to another good edge.  Nice little lunge to the top."
Dale's Left,3,vertical,face,"Move up on small crimps to a seam, then over the bulge with inobvious edges to the top."
Cuban Roll,3,overhanging,steep,"A Dale's classic.    Start high with crimps on the steep wall.  Make a couple powerful moves to the jug around the lip, pull over and around the lip using slopers and transition to the slab finish."
Green Hornet,4,slab,technical,Excellent technical face climbing on bullet patina.  One of the best moderates at Dale's.    Climb small but good edges straight up the black streak to a committing crux near the top.
Zen Flute,10,vertical,dyno,A difficult line with an inviting opening sequence and a sizable dyno finish.      Start on the obvious shallow right-facing flake.  Work up to small crimps in the horizontal seam and make an all-out leap of faith to a jug on the lip (crux).
Swiss Legends,6,overhanging,steep,"An awesome overhanging power problem finishing on slopers!    Start low on two smooth incut crimps. Pull on to the wall and make a big move with the left hand to hidden sidepull jugs on the left lip.    From here bring your right hand to more hidden holds, or bump the left hand. Then grab the lip overhead and finish up on glassy slopers.    Temperature dependent but an awesome climb!"
Xavier's Roof,8,overhanging,mantle,"Definitely one of the best problems in Bishop if not anywhere.Sit start on small crimps and climb up into the good flake undercling. Continue onto the lip, make a couple of moves left and right, figure out how to get your foot to face level, and then mantel (or throw) to the big smiley jug. Careful on the top-out.  This problem can be more difficult for those who are either really tall or really short. It's probably helpful to be average-height and flexible. There's also a variety of ways to do this problem."
Gastonia,8,vertical,face,Stand start with a good left hand sidepull. Climb up using a series of sharp gastons.
Hueco Wall,9,vertical,dyno,"Stand start at sidepull crimps down and right of the prominent hueco. Get your feet up high and make an awkward lunge or dyno for the smooth hueco in the middle of the wall. Looks easier than it is! From the smooth hueco, grab the top of it as an undercling and make a few hard pulls to gain the lip. The holds aren't that great for the top out, but there is a bomber spot to put your heel hook in for the mantel."
Small Fruit,3,vertical,face,"Climb the arete, using the good clean holds to gain a patina crack."
Pity the Fool,2,vertical,crack,"Start sitting with your hands in the largest, obvious crack on the west face of the boulder. Follow the crack up and left, but top out right of the bulging nose for full value."
Soldier of Fortune,5,vertical,face,"This climb is on the tall boulder to the south of the A-Team Boulder. Start standing on the southwestern side of the boulder, between the boulder and the tree. Match your hands, side-pulling on the obvious crack. Climb up with difficulty to an easier top out. The lower holds feel a bit hollow, so take care. The holds at the top are bullet hard."
Mr. T's Wild Ride,6,vertical,dyno,"Start sitting on the fallen boulder section, with your hands in the lower of the parallel cracks. Move up into the higher crack, and set your hands in an undercling for a dyno to the lip! Fantastic!"
Secrets of the Beehive,6,vertical,technical,Either sit down for full value or begin at the obvious flake. The opening moves are the most physically demanding while the last the most technical and committing.
Flight of the Bumblebee,8,overhanging,steep,"A crazy looking line on beautiful rock!   Start with a jump to a huge jug. From here climb up and right following a crack system. When the crack ends, pull it together and climb on to some good incut edges and then the crux sequence! Climb up and over the bulge with some balance and holds that aren't as good as you'd like. From here climb up to the lip on improving holds and top out with care!    Biffing the top out isn't an option!   The line is at least thirty-five feet tall over a slightly blocky landing."
The Swarm Direct,13,overhanging,steep,"Surprisingly this little guy wasn't done until recently. Start as for the Swarm but instead of going out right, climb up via hard pulls on small crimpers."
The Sloth,9,overhanging,steep,Sit start down under the overhang on a rail. Start with hands matched where the crack opens up. Move right along crimps before busting some long powerful moves out into the daylight. Snag the large patina jug and shake out for the crux top out. Great movement and a good power endurance problem.
Body and Soul,5,overhanging,face,Go straight up the prominent arete to a somewhat highball topout.
The Swarm,14,overhanging,steep,One of America's finest crimp testpieces! Beautiful bulletproof quartz monzonite with small smooth holds in a majestic location!    Stand Start matched on a small right facing side pull and make a big move up left hand to a small crimp. From here make another long reach up with your other hand to a decent crimp rail. Position your feet and come in for the match! Then bust another move out right to another small crimp. Get a high left foot and do a big cross to a small flake.    Reach over with the right hand to a decent hold at the arete. Swap the left hand from a crimp to a side pull and gather all you have left in the gas tank. Make a big dynamic move up to the last hold. Crimp down hard on the left hand side pull in order to hold the swing! Match the diagnol lip and get up there! Finish up the slab(money) or walk righwards and drop down.    The Swarm Direct(v13) has also been done by Nalle in 2011. Instead of going right on the small seams and rails climb direct using whatever looks somewhat holdable!
Northwest Arete,8,overhanging,technical,"A proud arete with powerful pulls in between crimps and small mini-pinches. Apparently, this was the first line to be climbed on the boulder, and it rarely sees repeats. Squat start low and follow the arete and a few holds just above the arete over an increasingly bad landing with the last few moves being the crux."
